input,output,input_ids,labels
"[TGT] muted as jobs data awaited, Greece risk rises",neutral,32100 4035 1054 38 2476 331 3 9 13106 6 12263 1020 3098 7 1,7163 1
[TGT] rallies on reports of Medanta Medicity stake sale,positive,32100 26930 7 30 2279 13 8067 288 9 3 15789 485 8474 1048 1,1465 1
[TGT] probe: Maharishi Vedic firm says not into public deposits,neutral,32100 12732 10 8555 1665 5605 3901 4370 1669 845 59 139 452 15637 1,7163 1
"[TGT] a strong stock: Ashwani Gujral, Market Strategist",positive,32100 3 9 1101 1519 10 7153 3877 23 2846 354 4900 6 3611 22946 7 17 1,1465 1
[TGT] faces talent exodus as key officials quit,negative,32100 8519 3683 1215 32 8655 38 843 4298 10399 1,2841 1
"[TGT], silver end steady in thin trade",neutral,32100 3 6 4294 414 11207 16 5551 1668 1,7163 1
[TGT] files Draft Red Herring Prospectus with SEBI for IPO,neutral,32100 2073 21409 1624 8816 53 24383 302 28 5985 5972 21 3 25470 1,7163 1
[TGT] downside capped likely at 7550 levels,neutral,32100 21204 3 25927 952 44 489 17147 1425 1,7163 1
"View on Reliance Industries remains bullish: Shardul Kulkarni, [TGT]",neutral,4197 30 419 9928 565 18080 3048 8434 1273 10 18981 26 83 480 83 157 23403 6 32100 1,7163 1
[TGT] executive director G Gopalakrishna may get top job at CAFRAL,neutral,32100 4297 2090 350 1263 13878 10648 7 107 29 9 164 129 420 613 44 3087 371 21415 1,7163 1
SAT upholds Sebi order against three entities in [TGT] case,neutral,3 17517 95 6134 7 679 115 23 455 581 386 12311 16 32100 495 1,7163 1
Key thing for OMCs is the subsidy sharing pattern: [TGT],neutral,4420 589 21 411 3698 7 19 8 28942 63 2178 3275 10 32100 1,7163 1
[TGT] ends in red; Morgan Stanley upgrades stock to 'equal-weight',negative,32100 5542 16 1131 117 11147 19089 15694 1519 12 3 31 15 11433 18 9378 31 1,2841 1
[TGT] posts lower Q3 loss at Rs 426 crore,negative,32100 3489 1364 1593 519 1453 44 11715 314 2688 23095 1,2841 1
[TGT] Q2 net up 20 per cent at Rs 100 crore on robust sales,positive,32100 1593 357 3134 95 460 399 3151 44 11715 910 23095 30 6268 1085 1,1465 1
Piramal to acquire 10% stake in [TGT] for Rs 790 cr,positive,23421 9 1982 12 7464 6389 8474 16 32100 21 11715 489 2394 5764 1,1465 1
Orange weighs on [TGT] after Jazztel deal,negative,7311 11385 7 30 32100 227 12313 1625 1154 1,2841 1
Yogesh Munjal to quit [TGT] stake for Showa,negative,6545 2897 107 9810 1191 40 12 10399 32100 8474 21 3111 9 1,2841 1
Still bearish on [TGT]: Rajat Bose,negative,4886 4595 1273 30 32100 3 10 13509 144 1491 7 15 1,2841 1
"Refining, petrochem boost to help [TGT] maintain profitability",positive,419 89 77 53 6 3 102 15252 6482 4888 12 199 32100 1961 21624 1,1465 1
Shree Cement's [TGT]' unit purchase to help balance north business,neutral,4488 60 15 205 1194 31 7 32100 3 31 1745 1242 12 199 2109 3457 268 1,7163 1
[TGT] Q1 net down 4% at Rs 61 cr,negative,32100 1593 536 3134 323 3 5988 44 11715 3 4241 5764 1,2841 1
European stock rally stalls; [TGT] eyes record high,positive,1611 1519 13980 3 9176 7 117 32100 2053 1368 306 1,1465 1
[TGT] slips over 2% as July-September profit lags some estimates,negative,32100 7560 7 147 3 5406 38 1718 18 27652 3199 3 5430 7 128 10014 1,2841 1
[TGT] rises on industrial demand,positive,32100 3098 7 30 2913 2173 1,1465 1
[TGT] shares surge 12% as parent firm weighs GE offer,positive,32100 4776 18787 3 26821 38 4208 1669 11385 7 3 5042 462 1,1465 1
[TGT] posts Rs 822 crore Q3 loss,negative,32100 3489 11715 505 2884 23095 1593 519 1453 1,2841 1
[TGT]' turnover dips 70 per cent,negative,32100 3 31 17847 10823 7 2861 399 3151 1,2841 1
"VR Sharma quits [TGT], joins Bangladeshi firm Abul Khair Group as steel head",neutral,13893 30405 10399 7 32100 3 6 1715 7 19039 23 1669 891 83 480 19176 1531 38 2470 819 1,7163 1
Advise avoidance of both [TGT]: Saurabh Mukherjea,negative,1980 3466 15 1792 663 13 321 32100 3 10 7745 7093 107 283 1598 760 1924 9 1,2841 1
[TGT] slips amid takeover battle,negative,32100 7560 7 18905 240 1890 3392 1,2841 1
Sebi relaxes debt-equity conversion norms for [TGT],neutral,679 115 23 4839 15 7 2814 18 15 10073 63 6113 7982 7 21 32100 1,7163 1
[TGT] tank further; Federal Reserve rattles emerging assets,negative,32100 5040 856 117 5034 9473 31010 7 7821 4089 1,2841 1
NSE to auction [TGT] worth Rs 646 crore on Tuesday,neutral,445 4132 12 8493 32100 1494 11715 431 4448 23095 30 2818 1,7163 1
[TGT] hits 11-month high; RBI intervention in focus,positive,32100 8046 850 18 7393 306 117 19979 7897 16 992 1,1465 1
[TGT] posts $21 million net income in October-December quarter,neutral,32100 3489 3771 536 770 3134 2055 16 1797 18 29835 2893 1,7163 1
"[TGT] shareholders, do not panic",neutral,32100 17780 6 103 59 13647 1,7163 1
[TGT] futures down 0.89% on higher supply,negative,32100 647 7 323 3 22384 7561 30 1146 1899 1,2841 1
Overweight rating on Coal India: [TGT],neutral,2035 9378 5773 30 638 138 1547 10 32100 1,7163 1
[TGT] prices fall 3.37% on weak overseas demand,negative,32100 1596 1590 3 19660 6170 30 5676 10055 2173 1,2841 1
Sebi mulls [TGT] listing norms in renewable funding push,neutral,679 115 23 4035 195 7 32100 6437 7982 7 16 12475 3135 3292 1,7163 1
Five reasons why [TGT] won't fall for US Fed's taper tantrum,neutral,9528 2081 572 32100 751 31 17 1590 21 837 10803 31 7 4874 52 6584 2781 1,7163 1
"This is an inflection point for IT industry: Deepak Shenoy, [TGT]",neutral,100 19 46 16 89 12252 500 21 2344 681 10 9509 1639 451 29 32 63 6 32100 1,7163 1
"Dollar dips versus [TGT], euro remains under pressure",neutral,14110 10823 7 3 8911 32100 3 6 3983 3048 365 1666 1,7163 1
[TGT] promoter hikes stake marginally for Rs 25 crore,neutral,32100 2519 52 8598 7 8474 18777 120 21 11715 944 23095 1,7163 1
"Hopes of kerosene, LPG price hike fuel gains in oil, [TGT]",positive,6000 7 13 3 1050 1859 35 15 6 301 7861 594 8598 2914 11391 16 1043 6 32100 1,1465 1
[TGT] announces key additions to its Board of Directors,neutral,32100 6456 7 843 811 7 12 165 2086 13 14102 1,7163 1
Saregama India climbs 6% on [TGT] stake buy,neutral,1138 60 8758 9 1547 8147 7 3 6370 30 32100 8474 805 1,7163 1
"[TGT] looks good given the deficient monsoon: Pankaj Pandey, ICICIdirect.com",positive,32100 1416 207 787 8 20 17397 1911 7 32 106 10 4266 1258 354 4266 221 63 6 3 18316 3597 21241 5 287 1,1465 1
NSEL-[TGT] merger issue: Govt to seek more time from Bombay High Court,neutral,445 23143 18 32100 18917 962 10 17416 17 12 2762 72 97 45 16327 9 63 1592 2243 1,7163 1
"Mexico ""very unlikely"" to reopen $1.1 billion [TGT] hedge program: Source",negative,4726 96 8461 9909 121 12 3 60 8751 1514 11039 2108 32100 18179 478 10 9149 1,2841 1
Concerns over global growth peg back [TGT],negative,21508 7 147 1252 1170 158 122 223 32100 1,2841 1
Rush for higher returns before rate cut: [TGT] tax-free bonds oversubscribed 10 times on Day 1,positive,20710 21 1146 5146 274 1080 1340 10 32100 1104 18 2113 13237 147 7304 22573 335 648 30 1430 209 1,1465 1
"Inox Wind debuts at Rs 400, a premium of 23% on [TGT]",neutral,27 19864 5634 5695 7 44 11715 4837 6 3 9 3331 13 204 5170 30 32100 1,7163 1
"Ex - chief, M Damodaran contends [TGT] on FTIL stake acquisition",neutral,1881 3 18 5752 6 283 10939 32 13702 24236 7 32100 30 3 6245 3502 8474 6566 1,7163 1
[TGT] Q2 net dips by 29 pc to Rs 11.03 crore,negative,32100 1593 357 3134 10823 7 57 2838 3 102 75 12 11715 7806 4928 23095 1,2841 1
[TGT] closes up a paltry 0.75% on BSE,positive,32100 885 7 95 3 9 7692 8224 3 22426 2712 30 272 4132 1,1465 1
[TGT] to make India hub for South-East Asia markets,neutral,32100 12 143 1547 7801 21 1013 18 25235 3826 3212 1,7163 1
[TGT] hits 1-year low after central bank chief's FX comments,negative,32100 8046 8218 1201 731 227 2069 2137 5752 31 7 377 4 2622 1,2841 1
[TGT] quarterly profit soars to Rs 214 crore,positive,32100 20232 3199 78 291 7 12 11715 3 27357 23095 1,1465 1
Brokers call: [TGT] stays neutral on Tech Mahindra,neutral,20696 7 580 10 32100 13628 7163 30 7130 8555 77 3515 1,7163 1
[TGT] slips from Monday peak as inflation data dents rate expectations,negative,32100 7560 7 45 2089 6734 38 12485 331 3 24180 1080 4454 1,2841 1
"Real estate business will take time to pick up: Deven Choksey, [TGT]",neutral,2977 2052 268 56 240 97 12 1432 95 10 374 1926 6285 157 7 15 63 6 32100 1,7163 1
[TGT] climbs above $108 on renewed Ukraine tensions,positive,32100 8147 7 756 1970 4018 30 18184 11897 7012 7 1,1465 1
"German data brings relief to euro, [TGT] rise stalls",negative,2968 331 3200 4956 12 3983 6 32100 3098 3 9176 7 1,2841 1
"Actis, [TGT] and IFCI plan to sell NSE shares",positive,1983 159 6 32100 11 3 6058 3597 515 12 1789 445 4132 4776 1,1465 1
"Merge [TGT] with FTIL, says commodity market regulator to government",neutral,4039 397 32100 28 3 6245 3502 6 845 23070 512 14415 12 789 1,7163 1
"Railways trying to match [TGT]; to offer personalised alerts, wake-up calls",neutral,18025 7 1119 12 1588 32100 3 117 12 462 3 24001 5685 7 6 7178 18 413 3088 1,7163 1
[TGT] posts Rs 52.2-crore net,neutral,32100 3489 11715 305 15300 18 2771 60 3134 1,7163 1
"At [TGT], growth remains a mirage",negative,486 32100 3 6 1170 3048 3 9 1870 545 1,2841 1
"Renuka Sugar, [TGT] strongest bets in sugar: JV Capital",positive,4965 1598 9 16382 6 32100 19095 36 17 7 16 2656 10 446 553 5826 1,1465 1
Muhurat trading at BSE and [TGT] on Diwali,neutral,4159 10666 144 3415 44 272 4132 11 32100 30 2043 5380 23 1,7163 1
[TGT] makes 17.66 billion roubles worth of forex interventions on October 7,positive,32100 656 11030 3539 2108 3 3964 2296 7 1494 13 17192 14418 30 1797 489 1,1465 1
"Sensex rangebound, [TGT] below 8050; top fifteen stocks in focus",negative,3 19003 226 620 6115 6 32100 666 2775 1752 117 420 17310 10145 16 992 1,2841 1
[TGT] H1 earnings see boost from FTSE-Russell,positive,32100 454 536 8783 217 4888 45 3 6245 4132 18 17137 7 12019 1,1465 1
Multi-year [TGT] rally on cards: Analysts,positive,4908 18 1201 32100 13980 30 2190 10 25224 7 1,1465 1
"[TGT] likely to improve revenue visibility on new road projects, diversified orders",positive,32100 952 12 1172 3751 12435 30 126 1373 1195 6 3 28575 5022 1,1465 1
"Australian, [TGT] drift lower on weak equities, growth worries",negative,3746 6 32100 16901 1364 30 5676 3 15 1169 3010 6 1170 17168 1,2841 1
[TGT] gets funds from Mayfield,positive,32100 2347 2731 45 932 1846 1,1465 1
"Who shot down [TGT] bull? Regulator says hunt is on; Shanghai ends 6% down, slips 30% in 3 weeks; what experts say",negative,2645 2538 323 32100 8434 58 7777 83 1016 845 8069 19 30 117 15985 5542 3 6370 323 6 7560 7 10738 16 220 1274 117 125 2273 497 1,2841 1
Sebi may not halt trading of [TGT] shares on day of OFS,neutral,679 115 23 164 59 3 5019 3415 13 32100 4776 30 239 13 3347 134 1,7163 1
Prefer [TGT] over Zee in media space: P Phani Sekhar,positive,1266 1010 32100 147 4603 15 16 783 628 10 276 3657 2738 679 157 3272 1,1465 1
[TGT] rallies over 12% as Lavasa gets Sebi nod to raise Rs 750 cr via IPO,positive,32100 26930 7 147 3 26821 38 325 9856 9 2347 679 115 23 150 26 12 3033 11715 3 9979 5764 1009 3 25470 1,1465 1
Vishal Sikka to outline strategy at [TGT]' Q2 results,neutral,13291 3828 925 8511 9 12 11052 1998 44 32100 3 31 1593 357 772 1,7163 1
"[TGT] sells Masala Re Bonds; raises Rs 1,000 cr for Axis Bank",positive,32100 1789 7 6664 138 9 419 12528 7 117 3033 7 11715 11668 5764 21 71 226 159 1925 1,1465 1
[TGT] set to hire top executives ahead of IPO,neutral,32100 356 12 3804 420 13510 2177 13 3 25470 1,7163 1
[TGT] Q4 Net profit up 4.95% at Rs 58.08 crore,positive,32100 1593 591 6540 3199 95 3 27336 2712 44 11715 3 3449 5 4018 23095 1,1465 1
[TGT]'s consolidated P/E makes Indian markets cheaper than its peers,neutral,32100 3 31 7 3 27356 276 87 427 656 2557 3212 8139 145 165 13359 1,7163 1
[TGT] prices set to outpace gold as luxury spending in Asia rises,positive,32100 1596 356 12 91 5379 15 2045 38 3873 2887 16 3826 3098 7 1,1465 1
"[TGT] Rs 1,200cr IPO subscribed 1.75 times till 2pm",neutral,32100 11715 1914 3632 75 52 3 25470 10006 26 1300 3072 648 6501 204 2028 1,7163 1
T K Sengupta takes over as Director of [TGT],neutral,332 480 4892 122 413 17 9 1217 147 38 2578 13 32100 1,7163 1
[TGT] rallies as Q1 net profit jumps over three-fold,positive,32100 26930 7 38 1593 536 3134 3199 4418 7 147 386 18 10533 1,1465 1
Axis Bank slips over 3% as [TGT] plans to offload 9% stake,neutral,71 226 159 1925 7560 7 147 3 5170 38 32100 1390 12 326 7134 3 7561 8474 1,7163 1
Equity outflows at 15-week high as investors seek bond safety: [TGT],neutral,25943 91 7631 7 44 627 18 8041 306 38 4367 2762 6235 1455 10 32100 1,7163 1
"Double-digit returns seen from IT stocks; Wipro, [TGT], NIIT Tech hit 52-week highs",positive,8405 18 9206 5146 894 45 2344 10145 117 2142 1409 6 32100 3 6 3 6197 3177 7130 1560 9065 18 8041 306 7 1,1465 1
Too early to buy [TGT]: Deepak Mohoni,neutral,9647 778 12 805 32100 3 10 9509 1639 1290 107 106 23 1,7163 1
[TGT] falls 14 paise  to 61.88 against dollar in early trade,negative,32100 7250 968 3 102 8284 12 3 4241 5 4060 581 6816 16 778 1668 1,2841 1
"CBI raids NSEL offices; [TGT], MCX tank: Is the rally in these two stocks over?",negative,205 5972 15941 7 445 23143 6036 117 32100 3 6 3 3698 4 5040 10 27 7 8 13980 16 175 192 10145 147 58 1,2841 1
[TGT] await Narendra Modi maiden budget,neutral,32100 19902 13346 12524 5073 23 187 537 1487 1,7163 1
US stocks end mixed as decline in [TGT] shares weighs on Nasdaq,negative,837 10145 414 4838 38 7198 16 32100 4776 11385 7 30 10571 26 9 1824 1,2841 1
"Alarm bells across globe as [TGT] sinks, dollar tumbles",negative,24920 12815 7 640 7895 38 32100 5067 7 6 6816 26565 7 1,2841 1
"[TGT] falls on sluggish demand, adequate supply",negative,32100 7250 30 3 7 40 13917 1273 2173 6 9289 1899 1,2841 1
"Growth fears hit Asia FX; [TGT], ringgit plumb 17-year lows",negative,17435 14935 1560 3826 377 4 117 32100 3 6 3 1007 12651 4752 5937 1003 18 1201 731 7 1,2841 1
[TGT] and HT Media rally as companies spend most in FM radio phase-3 auctions,positive,32100 11 3 10966 3159 13980 38 688 1492 167 16 13409 2252 3944 3486 8493 7 1,1465 1
[TGT] Q1 net down 47.18 pc at Rs 5.73 cr,negative,32100 1593 536 3134 323 10635 5 2606 3 102 75 44 11715 3594 4552 5764 1,2841 1
"Bharti, [TGT] are out for some more time: CK Narayan",positive,272 13626 23 6 32100 33 91 21 128 72 97 10 3 10459 1823 2866 152 1,1465 1
Japanese messaging app [TGT] files for IPO valued above $10 billion,neutral,4318 16324 1120 32100 2073 21 3 25470 12695 756 9103 2108 1,7163 1
[TGT] may not move much in the next 8 to 10 sessions: Ashwani Gujral,neutral,32100 164 59 888 231 16 8 416 505 12 335 3975 10 7153 3877 23 2846 354 4900 1,7163 1
Tech rivals Apple-[TGT] ink marketing deal to embrace iPhones & iPads,neutral,7130 8374 7 2184 18 32100 16 157 1070 1154 12 9599 3146 7 3 184 6250 7 1,7163 1
$40 [TGT] could be a game-changer for Russia,positive,23853 32100 228 36 3 9 467 18 13073 52 21 4623 1,1465 1
"[TGT] goes public, plans to raise 426 crore",neutral,32100 1550 452 6 1390 12 3033 314 2688 23095 1,7163 1
[TGT] dips before UK inflation report,negative,32100 10823 7 274 1270 12485 934 1,2841 1
[TGT] underperforms on Reliance Jio worries,negative,32100 365 883 2032 7 30 419 9928 565 7802 32 17168 1,2841 1
Sensex directionless; heres what experts are betting on in rangebound [TGT],neutral,3 19003 226 2212 924 117 270 7 125 2273 33 10385 30 16 620 6115 32100 1,7163 1
Britain [TGT] regains traction as oil steadies,neutral,7190 32100 3 20787 7 3 10559 38 1043 19983 15 7 1,7163 1
Emerging market stocks fall on Iraqi violence; [TGT] markets stabilise,neutral,25579 53 512 10145 1590 30 7457 23 4756 117 32100 3212 20426 7 15 1,7163 1
"June 2, 2014: Mecklai Financial report on [TGT]",neutral,1515 3547 1412 10 1212 75 8142 23 5421 934 30 32100 1,7163 1
"[TGT] drops on fall in retail sales, New Zealand dollar steady",negative,32100 11784 30 1590 16 3549 1085 6 368 5725 6816 11207 1,2841 1
[TGT] bursts onto Wall Street with $870-million IPO,neutral,32100 7018 7 17 7 2400 3556 1887 28 13155 2518 18 17030 3 25470 1,7163 1
[TGT] group CEO B Sai Kumar quits,neutral,32100 563 4071 272 1138 23 23400 10399 7 1,7163 1
[TGT] to be modified: RBI DG,neutral,32100 12 36 8473 10 19979 3 13535 1,7163 1
"Book profits with Sesa Sterlite, stay with [TGT]: Deven Choksey",positive,3086 9613 28 679 7 9 472 49 6311 6 1049 28 32100 3 10 374 1926 6285 157 7 15 63 1,1465 1
"[TGT], autos, media companies will do well'",positive,32100 3 6 1510 7 6 783 688 56 103 168 31 1,1465 1
PSU banks top bet; [TGT] looks good in private sector banks: Neeraj Deewan,positive,276 4138 5028 420 36 17 117 32100 1416 207 16 1045 2393 5028 10 1484 15 9655 374 15 3877 1,1465 1
"Global cues can drag CNX IT, [TGT] further down: Ashwani Gujral",negative,3699 123 15 7 54 5439 3 10077 4 2344 6 32100 856 323 10 7153 3877 23 2846 354 4900 1,2841 1
[TGT] Q4 net up two-fold at Rs 35.9 crore,positive,32100 1593 591 3134 95 192 18 10533 44 11715 3097 5 1298 23095 1,1465 1
[TGT] fall as crude prices surge,negative,32100 1590 38 19058 1596 18787 1,2841 1
[TGT]: Automotive business pulls down revenues and profits,negative,32100 3 10 20378 268 3197 7 323 14609 11 9613 1,2841 1
"[TGT] urges traders, ginners to release cotton stocks",neutral,32100 11872 7 14641 6 3 122 77 687 7 12 1576 7282 10145 1,7163 1
"[TGT] net profit rises 27% to Rs 1,417 crore in FY15",positive,32100 3134 3199 3098 7 204 6170 12 11715 1914 591 2517 23095 16 23263 1808 1,1465 1
Build defensive portfolio in volatile markets: [TGT],neutral,14025 11976 4833 16 25359 3212 10 32100 1,7163 1
No change in [TGT] prices,neutral,465 483 16 32100 1596 1,7163 1
[TGT] nurses itself back to health on better utilisation of plants,positive,32100 14993 1402 223 12 533 30 394 3 6793 13 2677 1,1465 1
Sell [TGT] with a target of Rs 149: Prakash Gaba,negative,16922 32100 28 3 9 2387 13 11715 3 24816 10 6110 157 3198 15894 9 1,2841 1
Deutsche Bank upgrades [TGT] to 'buy',positive,15024 1925 15694 32100 12 3 31 14584 31 1,1465 1
[TGT] Q1 net dips 28 per cent at Rs 26.98 crore,negative,32100 1593 536 3134 10823 7 2059 399 3151 44 11715 2208 5 3916 23095 1,2841 1
[TGT] slumps over 6% on coal block woes,negative,32100 31649 7 147 3 6370 30 8416 2463 2275 15 7 1,2841 1
"Real estate is not a good long-term investment option: Dipan Mehta, Member, BSE & [TGT]",neutral,2977 2052 19 59 3 9 207 307 18 1987 1729 1182 10 23177 152 1212 107 17 9 6 8541 6 272 4132 3 184 32100 1,7163 1
"Britain FTSE edges lower, caution before [TGT] meeting",neutral,7190 3 6245 4132 9804 1364 6 14291 274 32100 1338 1,7163 1
"CLSA overweight on [TGT]; ICICI Bank, Axis Bank top picks",positive,11175 4507 26676 30 32100 3 117 3 18316 3597 1925 6 71 226 159 1925 420 1432 7 1,1465 1
[TGT] consolidated net profit increases 7 per cent to Rs 809 crore in Q2,positive,32100 3 27356 3134 3199 5386 489 399 3151 12 11715 505 4198 23095 16 1593 357 1,1465 1
"Industrial demand lifts [TGT] futures, rises 0.72%",positive,9199 2173 5656 7 32100 647 7 6 3098 7 3 22426 5406 1,1465 1
Swiss Finance Corp sells [TGT] shares worth Rs 92.55 cr,negative,11541 7679 10052 1789 7 32100 4776 1494 11715 3 4508 5 3769 5764 1,2841 1
[TGT] Q1 net up 81% at Rs 146.32 cr,positive,32100 1593 536 3134 95 505 4704 44 11715 3 24300 5 2668 5764 1,1465 1
